uniprot_id,sequence_length,valid_structure_len,true_topt,pred_topt,abs_error,Avg_pLDDT,top_ratio,top_k,top_residues,importance_max,importance_entropy
P53123,320,320,37.0,31.0625,5.9375,0.81,0.1,32,H20;K42;S230;H237;Y180;H163;L101;G304;D253;T219,0.9494498372077942,0.27558910846710205
P0C0G6,336,336,37.0,32.375,4.625,0.88,0.1,34,A335;V284;K252;K108;P223;S148;H179;E25;T50;T143,0.5052313804626465,1.7702481746673584
Q58517,196,196,37.0,60.59375,23.59375,0.9,0.1,20,K57;K23;D172;K10;K121;K165;D31;N155;K136;K78,0.8792772889137268,0.5323630571365356
Q8KKF9,538,538,37.0,40.78125,3.78125,0.72,0.1,54,S103;K331;G455;T285;I308;N42;P366;E377;L265;P399,0.6100070476531982,0.8327246308326721
P16467,563,563,25.0,32.15625,7.15625,0.91,0.1,57,K65;G516;S133;D253;Y507;H481;Q491;H92;H510;P338,0.32298800349235535,1.5272471904754639
O59147,629,629,65.0,69.9375,4.9375,0.9,0.1,63,M232;A61;E14;K353;E453;V560;K18;V65;G116;K395,0.30110228061676025,1.832384705543518
Q9L9F1,323,323,30.0,28.453125,1.546875,0.88,0.1,33,H307;T319;H190;E302;I267;D228;A250;G320;E96;L253,0.6433742642402649,1.264061689376831
A0A090IMH4,350,350,30.0,28.265625,1.734375,0.97,0.1,35,S350;H78;K145;K73;A23;S339;G206;M40;D9;S164,0.5466318726539612,0.9574166536331177
Q5YLC0,406,406,37.0,44.15625,7.15625,0.91,0.1,41,G377;K222;H23;G98;E341;K79;E333;G146;G299;G47,0.5032905340194702,1.560152530670166
Q7DC81,627,627,28.0,27.875,0.125,0.91,0.1,63,D156;G496;C255;G585;E280;G331;G360;P571;S200;G186,0.8927510380744934,0.5059348344802856
D2SZY5,472,472,32.5,33.0625,0.5625,0.86,0.1,48,D226;Q422;K35;K90;H193;H98;V271;A182;G222;K65,0.8020416498184204,0.666351318359375
A0A0E4AX59,344,344,48.0,50.84375,2.84375,0.92,0.1,35,H280;N145;K112;T102;H26;K76;L52;Q273;P342;A291,0.8211970925331116,0.7081976532936096
P39535,881,798,30.0,33.65625,3.65625,0.33,0.1,80,K108;T271;K235;G595;L679;A521;V82;H229;H342;A301,0.4735430181026459,1.664326786994934
Q45VU2,213,213,60.0,57.90625,2.09375,0.92,0.1,22,E106;K123;N91;D32;K68;D147;N80;S190;T173;E200,0.6985844373703003,1.1395636796951294
Q9SDW9,461,461,37.0,34.84375,2.15625,0.87,0.1,47,K33;W240;T358;H433;P296;T147;K388;L352;F29;F440,0.5847265124320984,1.1189720630645752
Q0ZS20,283,283,50.0,41.59375,8.40625,0.96,0.1,29,I201;Y224;K56;Q270;S273;L131;Q177;K38;S254;I55,0.6312671899795532,0.9771468043327332
Q08KN3,1028,798,10.0,42.5625,32.5625,0.83,0.1,80,H607;H189;M696;H461;P492;D624;L393;E90;A252;H400,0.7633959650993347,0.9254955649375916
P18209,391,391,55.0,48.53125,6.46875,0.88,0.1,40,K137;K215;S70;S302;S95;A167;D321;P325;G202;E160,0.8637754321098328,0.5822097063064575
A0A0P0IZM9,535,535,50.0,56.1875,6.1875,0.82,0.1,54,K237;H436;I170;S223;K385;D112;P346;T312;C429;P180,0.33184128999710083,1.627352237701416
Q2HQR8,236,236,25.0,24.84375,0.15625,0.97,0.1,24,S92;D182;A127;K158;S64;A18;K199;S162;H73;R209,0.93798828125,0.24556678533554077
A0A2D3HJ61,340,340,55.0,39.75,15.25,0.85,0.1,34,N74;K124;S142;N86;S82;K5;H113;T296;R157;I123,0.39697718620300293,1.4228200912475586
P44805,156,156,22.0,32.5,10.5,0.9,0.1,16,R87;K110;I21;K78;F28;F95;G139;N15;I77;H137,0.9047635793685913,0.38141655921936035
F0ZJZ1,457,457,55.0,51.53125,3.46875,0.83,0.1,46,K446;E207;M398;S6;T33;T350;T317;H223;H370;S409,0.5486167073249817,1.2429611682891846
P95479,1214,798,25.0,65.125,40.125,0.3,0.1,80,K98;S630;E608;P333;K306;M110;K706;K58;K68;P480,0.8920283913612366,0.595842719078064
Q8P3J4,798,798,30.0,42.75,12.75,0.3,0.1,80,R596;H158;H222;A585;H88;R540;A250;H614;E565;F118,0.29937276244163513,1.705198049545288
B5ARZ9,422,422,75.0,69.875,5.125,0.92,0.1,43,W381;S196;K409;K20;H387;E224;G144;R66;D72;H48,0.5432860851287842,1.1911993026733398
S0ENM8,401,401,28.0,30.96875,2.96875,0.89,0.1,41,N151;N321;M160;H211;R157;M51;D82;H24;N21;P395,0.6299847364425659,1.225029468536377
Q939D2,728,728,37.0,49.75,12.75,0.71,0.1,73,S184;H340;K136;L505;A256;G673;W175;H386;H435;Y328,0.469856858253479,1.3137434720993042
Q5JHA5,337,337,80.0,80.8125,0.8125,0.92,0.1,34,K325;E333;K38;G304;G85;A49;E29;M313;K71;K242,0.5079275965690613,1.5283122062683105
P25360,923,798,30.0,33.8125,3.8125,0.8,0.1,80,S220;T317;T507;K711;K194;S223;N110;L724;K281;K797,0.43804219365119934,2.0891480445861816
Q7X0P2,430,430,45.0,36.5,8.5,0.86,0.1,43,H135;Q101;K299;A304;H260;T190;P61;F317;D41;R107,0.4830766022205353,1.3164703845977783
Q8TZP8,645,645,85.0,76.0625,8.9375,0.91,0.1,65,K242;P628;R25;G436;H268;K394;K133;K430;E560;F122,0.6772467494010925,1.1703896522521973
E8MGH8,658,658,38.0,36.84375,1.15625,0.89,0.1,66,H189;P495;G650;K125;G209;K382;V461;H194;A453;S486,0.806330144405365,0.6663945913314819
Q58999,462,462,50.0,56.0,6.0,0.91,0.1,47,K8;G223;K238;K15;M5;L310;I61;E62;A413;H92,0.3945730924606323,1.7564947605133057
Q5QKF8,639,639,37.0,34.46875,2.53125,0.93,0.1,64,H557;K503;Q332;H280;H63;H587;A370;G497;E564;D255,0.4277816116809845,1.2730519771575928
Q9XAY4,266,266,25.0,25.625,0.625,0.81,0.1,27,E100;H201;G27;G42;A217;A145;A58;A50;D78;K228,0.8990294933319092,0.3405264616012573
P32021,350,350,23.0,31.40625,8.40625,0.93,0.1,35,S21;K329;H305;G214;S350;Q28;S42;T324;K32;G260,0.6639469265937805,0.8981784582138062
B3Y006,310,310,60.0,30.734375,29.265625,0.3,0.1,31,S292;G35;K309;S277;K305;W203;K22;A227;T137;R49,0.6028770208358765,0.7926613688468933
O07883,220,220,70.0,60.34375,9.65625,0.96,0.1,22,D101;E52;K61;T122;I51;E157;K196;R29;S135;H167,0.682537317276001,1.0630964040756226
F9VNG5,304,304,30.0,54.8125,24.8125,0.92,0.1,31,H20;K242;K167;K65;M42;N193;I32;K92;G80;K88,0.5123661160469055,1.5322697162628174
Q6YNE9,461,461,46.0,47.875,1.875,0.87,0.1,47,N311;T278;Q165;N187;K132;S191;K425;H124;A226;N128,0.72517329454422,0.8971896171569824
A3FFK4,1034,798,55.0,48.90625,6.09375,0.28,0.1,80,A628;N357;H306;I335;D424;S409;Q282;G251;K453;F27,0.3293004631996155,1.5848839282989502
Q5LVM3,542,542,22.0,28.8125,6.8125,0.9,0.1,55,P82;S446;G387;E345;D183;A50;I315;E316;S129;L380,0.4322825074195862,1.6279886960983276
Q7Z031,443,443,25.0,35.375,10.375,0.75,0.1,45,K438;A40;K50;K279;K200;C400;G412;H340;N127;S228,0.7650853991508484,0.9158251285552979
A0A144KZD6,519,519,50.0,43.03125,6.96875,0.84,0.1,52,T57;G23;N209;D512;N295;H212;E322;N192;N360;D234,0.9389065504074097,0.25926750898361206
A4GXA0,146,146,65.0,31.171875,33.828125,0.88,0.1,15,K100;H104;K73;Y89;G96;S122;K3;L19;M112;G25,0.9612427353858948,0.19032129645347595
Q6H8X1,269,269,37.0,35.15625,1.84375,0.78,0.1,27,S37;G255;S129;A175;K75;T31;W104;K113;A62;P243,0.5312919616699219,1.448887586593628
M4QNR9,396,396,80.0,56.875,23.125,0.91,0.1,40,D396;G107;T212;S206;G24;G20;S16;K177;E230;S348,0.6729696989059448,1.0946319103240967
P74840,483,483,37.0,34.1875,2.8125,0.91,0.1,49,H325;E318;G427;R97;P398;I317;G242;D333;G404;M141,0.33210957050323486,1.9604370594024658
O53444,291,291,37.0,34.9375,2.0625,0.86,0.1,30,K47;K191;A280;G81;T17;N249;R183;A95;M1;W106,0.7655181288719177,0.5934651494026184
Q59Q46,521,521,25.0,30.203125,5.203125,0.9,0.1,53,K293;H510;H86;H97;T376;G373;F3;A396;K290;D483,0.9250001907348633,0.3695230484008789
I7CKJ5,434,434,37.0,38.46875,1.46875,0.87,0.1,44,M26;K170;H419;H70;K196;K223;K148;V58;K274;T222,0.6649819612503052,1.2129688262939453
A0JC76,396,396,30.0,34.75,4.75,0.89,0.1,40,N390;H284;E139;K312;L260;H53;A209;K396;V47;L181,0.6146515607833862,1.2458022832870483
A0A1S6XWY4,622,622,35.0,37.21875,2.21875,0.83,0.1,63,E320;R585;V481;W469;K92;D132;G47;H75;K226;S457,0.5519682765007019,1.2446030378341675
F9VPG1,290,290,80.0,79.5,0.5,0.94,0.1,29,D31;S140;K249;K13;K283;N78;S235;A119;S215;S290,0.3615584671497345,1.6266419887542725
Q8RBF4,324,324,60.0,51.28125,8.71875,0.83,0.1,33,S102;H289;K42;L10;K228;K154;K137;K304;I303;S68,0.817844808101654,0.8118652105331421
H2EIY3,342,342,37.0,36.375,0.625,0.9,0.1,35,H211;R340;I148;Y323;T154;F257;C126;S49;H125;A45,0.9713733792304993,0.1847582459449768
B8IP05,337,337,50.0,46.1875,3.8125,0.92,0.1,34,M116;D303;G28;G91;K231;L121;L54;Y330;F12;S314,0.3770896792411804,1.5490756034851074
G5ELA4,444,444,25.0,37.6875,12.6875,0.86,0.1,45,K290;R433;D227;H407;G24;E373;K362;F311;K165;S350,0.521526575088501,1.362364649772644
Q8RPW5,250,250,28.0,36.28125,8.28125,0.88,0.1,25,I151;P27;N60;K196;I237;K139;T180;K221;S102;K218,0.9002224802970886,0.4526875615119934
Q76M73,385,385,72.5,51.0,21.5,0.92,0.1,39,Y94;N325;N134;D328;I15;G11;Y169;Q256;G265;T278,0.42422816157341003,1.4393036365509033
A5U8X0,934,798,37.0,37.03125,0.03125,0.9,0.1,80,T445;H613;N597;D267;H152;L633;S38;H719;V42;V502,0.4366958439350128,1.97292959690094
B6F260,449,449,30.0,48.0625,18.0625,0.95,0.1,45,S341;G57;H44;N377;S319;Y198;F219;K422;K155;I340,0.46573835611343384,1.2839422225952148
Q9HIW6,441,441,60.0,66.6875,6.6875,0.95,0.1,45,K20;T341;D345;R405;K24;H78;K231;D421;S324;M1,0.7409038543701172,1.1104109287261963
A0A0H2Z9F5,478,478,28.0,32.84375,4.84375,0.93,0.1,48,H68;E34;K39;H121;K267;H306;V99;H459;H471;K234,0.43076077103614807,1.3052515983581543
O54435,415,415,40.0,46.59375,6.59375,0.81,0.1,42,C103;G379;A158;S78;K111;D268;F115;G233;S304;A83,0.8008366823196411,0.7665165662765503
P53848,824,798,37.0,30.40625,6.59375,0.87,0.1,80,H274;G696;R257;S152;K27;K578;R581;S435;A631;S131,0.9847662448883057,0.1100744754076004
Q4A9M4,459,459,37.0,42.09375,5.09375,0.93,0.1,46,K36;T42;G230;D138;H429;R329;E361;N53;K243;L124,0.5525367856025696,0.9779736995697021
P53052,652,652,37.0,34.96875,2.03125,0.93,0.1,66,K276;H103;A281;H350;K460;K626;N520;T207;T198;N485,0.8332057595252991,0.741159200668335
B1A7S3,410,410,37.0,37.375,0.375,0.88,0.1,41,K126;H26;K258;H100;S252;A282;H188;F41;K348;H237,0.8537350296974182,0.7079514265060425
B8E1T1,606,606,80.0,77.4375,2.5625,0.83,0.1,61,H499;G10;D28;A487;Y151;E230;K168;K425;G75;H539,0.5644863843917847,1.0428664684295654
Q4QE75,630,630,25.0,31.84375,6.84375,0.88,0.1,63,H67;F89;K314;G456;V533;R551;K613;I539;H224;A99,0.6787083745002747,0.9504163265228271
P96155,611,611,38.0,33.625,4.375,0.89,0.1,62,R348;H55;N284;D41;T335;K376;E307;K473;S164;G153,0.8379616737365723,0.5938148498535156
D5KB61,579,579,30.0,37.15625,7.15625,0.91,0.1,58,F308;L156;D110;S118;S573;H423;I287;G256;E38;M561,0.25362566113471985,2.073056936264038
P15770,272,272,27.5,27.609375,0.109375,0.93,0.1,28,H205;H179;H20;K264;Y209;S193;H253;M1;E30;K56,0.7587299942970276,0.8114060759544373
Q7WUI5,965,798,52.5,61.40625,8.90625,0.28,0.1,80,H661;H479;K599;H182;K685;N336;S66;F144;F457;P235,0.9543233513832092,0.25223401188850403
Q02068,383,383,47.5,35.4375,12.0625,0.77,0.1,39,H80;H205;E351;D32;Y263;H345;E222;E39;H190;H303,0.5570135116577148,1.5022166967391968
P37025,176,176,30.0,28.359375,1.640625,0.91,0.1,18,R18;H23;K56;Q176;I22;T127;G50;T150;R68;H28,0.9797970056533813,0.1244020164012909
O59312,352,352,95.0,81.125,13.875,0.91,0.1,36,K86;L234;E170;D340;K238;L328;E279;K267;K140;F320,0.6220534443855286,1.2321194410324097
P32440,344,344,60.0,35.59375,24.40625,0.7,0.1,35,H116;R97;F183;L339;L332;H41;H14;M93;A217;L267,0.4544050991535187,1.4374241828918457
P9WNX5,345,345,30.0,35.3125,5.3125,0.87,0.1,35,G179;A338;M1;K122;A171;L236;H256;A181;A168;D144,0.8846139907836914,0.5470014810562134
F7YTI3,484,484,95.0,75.5625,19.4375,0.93,0.1,49,H215;Y33;E374;K425;G259;L448;S399;S240;M311;V457,0.5093573927879333,1.4975595474243164
Q7LXU6,195,195,80.0,79.6875,0.3125,0.97,0.1,20,K13;R9;S124;L55;G71;K195;M137;S77;F105;I143,0.9237273931503296,0.393535852432251
A0A140JW76,378,378,30.0,33.78125,3.78125,0.94,0.1,38,L267;H61;H85;Y360;H341;D207;S370;R107;S144;H170,0.4367336630821228,1.3225717544555664
Q97ZV2,444,444,47.5,56.9375,9.4375,0.91,0.1,45,H299;R129;K427;G324;L362;L161;K414;L261;R108;G94,0.4316652715206146,1.7037842273712158
A7J1X4,348,348,85.0,80.3125,4.6875,0.93,0.1,35,W131;D230;H299;H318;P282;S17;M64;K256;Q120;G291,0.5240034461021423,1.4484409093856812
A2QR21,526,526,37.0,49.9375,12.9375,0.88,0.1,53,D344;K518;G45;K248;G439;L142;S463;L316;L137;Y94,0.5417299866676331,0.7359087467193604
Q979W2,361,361,62.5,55.375,7.125,0.92,0.1,37,H311;T123;H68;K331;H326;G186;K84;H118;D219;F177,0.4585949182510376,1.353040099143982
E9BLE1,550,550,37.0,27.484375,9.515625,0.93,0.1,55,K502;S371;D313;N421;H482;F331;H385;K339;N395;M453,0.762057363986969,0.9236850142478943
Q6L2X5,952,798,70.0,74.75,4.75,0.25,0.1,80,K160;K539;K611;K505;K577;K741;K665;K303;K640;Y145,0.20752324163913727,2.3399276733398438
K4L7X3,401,401,30.0,32.4375,2.4375,0.89,0.1,41,P209;H221;K99;T156;A365;T98;S124;E103;H189;A258,0.4913550317287445,1.2169761657714844
Q2PCE3,246,246,60.0,46.6875,13.3125,0.85,0.1,25,D179;K38;K161;K128;I57;I229;S165;E230;K91;R53,0.5939134955406189,1.428807020187378
B4X9S4,441,441,55.0,57.0625,2.0625,0.95,0.1,45,A341;H374;D117;K211;K296;L137;A432;H140;I406;G91,0.5111854672431946,1.5106863975524902
Q8NMD5,433,433,45.0,39.6875,5.3125,0.9,0.1,44,D113;H136;D146;G66;T7;H253;R371;D254;D166;G417,0.5577569603919983,1.0609197616577148
A8PYK0,714,714,37.0,34.3125,2.6875,0.9,0.1,72,T5;W646;R268;G405;H460;T293;R73;Y348;L684;S288,0.5574348568916321,1.4690066576004028
Q980N1,255,255,85.0,60.65625,24.34375,0.96,0.1,26,K253;G153;D20;M133;I238;L4;K11;G119;G62;N25,0.8111460208892822,0.8750165700912476
A0A0U2RV57,286,286,55.0,59.1875,4.1875,0.93,0.1,29,H27;S19;H126;L157;Y236;S76;N234;S213;N56;G152,0.9629172086715698,0.1969318687915802
O59025,715,715,90.0,64.4375,25.5625,0.87,0.1,72,K398;D9;K13;V598;N576;S22;V687;S34;L615;L516,0.6490799784660339,1.4218140840530396
Q92WA3,328,328,37.0,37.8125,0.8125,0.92,0.1,33,K262;G269;H74;I61;D132;P205;T272;L25;G183;L311,0.5596879720687866,0.9047361612319946
O93656,317,317,37.0,57.84375,20.84375,0.94,0.1,32,W147;K154;W34;L25;F53;N128;A174;G88;S207;K177,0.5746147632598877,0.8458510041236877
Q8E5N5,456,456,25.0,37.0625,12.0625,0.93,0.1,46,G51;Q421;K121;H414;Q126;K18;H383;K184;K65;H215,0.7289330363273621,0.8577773571014404
Q9AJC6,385,385,70.0,61.0,9.0,0.91,0.1,39,S378;H181;R346;N268;K13;S338;H102;G104;M11;S220,0.9397990703582764,0.3810899555683136
Q3BEM2,304,304,25.0,37.96875,12.96875,0.88,0.1,31,H74;E159;R281;A131;K266;D60;H176;N101;E67;H284,0.39394906163215637,1.7597143650054932
Q2UIM2,506,506,45.0,51.6875,6.6875,0.8,0.1,51,H374;L300;M203;I299;K294;A191;V354;Q455;T93;G221,0.3896958529949188,2.002002239227295
P45148,229,229,25.0,32.90625,7.90625,0.94,0.1,23,N117;H105;G41;L201;L221;H177;R198;W127;E91;H32,0.7294387221336365,1.0342674255371094
Q5SJ01,562,562,60.0,69.875,9.875,0.94,0.1,57,H263;K500;M28;G304;H186;V16;H356;R13;K557;G372,0.5446605086326599,0.8356515169143677
A3MWU9,309,309,90.0,87.375,2.625,0.93,0.1,31,D24;M18;L51;T215;K105;K286;K157;R86;S161;G101,0.8756308555603027,0.5713998675346375
P29957,669,669,29.0,49.1875,20.1875,0.79,0.1,67,H466;K407;G458;W598;A367;K626;N557;R503;H293;A581,0.42304226756095886,1.7093250751495361
Q53TZ2,309,309,30.0,33.53125,3.53125,0.92,0.1,31,G98;R59;A278;S245;R110;W160;A40;T43;A83;H153,0.5150176286697388,0.9734148979187012
P96091,722,722,37.0,41.46875,4.46875,0.74,0.1,73,K574;H435;S95;E123;G29;S288;K108;M633;A524;K409,0.9483334422111511,0.30493980646133423
P54471,238,238,37.0,34.8125,2.1875,0.98,0.1,24,R130;D142;H125;Y205;A102;H41;T214;K84;K232;L105,0.36574843525886536,1.4464092254638672
P20906,528,528,30.0,37.59375,7.59375,0.93,0.1,53,H144;S261;G412;S297;L500;Y9;H267;H281;H5;L468,0.6216463446617126,0.7134934067726135
B1B389,481,481,50.0,36.53125,13.46875,0.71,0.1,49,H455;N387;V337;H251;T366;S238;F375;P113;D11;Y351,0.5618155002593994,1.2173234224319458
O27106,233,233,60.0,48.09375,11.90625,0.93,0.1,24,H67;D34;G125;G148;L89;L227;S151;D4;M159;I192,0.7535167932510376,0.7998734712600708
Q8DL82,176,176,20.0,22.859375,2.859375,0.89,0.1,18,G130;C30;G166;H164;I129;S173;A139;L87;T27;H50,0.49744293093681335,1.0836275815963745
Q9UXF5,330,330,70.0,69.75,0.25,0.97,0.1,33,I149;G294;S327;I301;T258;M129;K231;E302;Y259;Y320,0.3559573292732239,1.6323235034942627
P16497,606,606,25.0,28.8125,3.8125,0.91,0.1,61,G471;H284;S378;G185;H321;A332;H588;I184;I580;K81,0.2859784960746765,2.0297415256500244
Q9HIA7,177,177,70.0,74.5,4.5,0.91,0.1,18,P167;H174;K91;G98;D33;R80;G9;K74;G20;E101,0.8191936612129211,0.5995415449142456
A9H275,558,558,48.0,49.1875,1.1875,0.94,0.1,56,D149;E515;H260;H106;T132;V293;G17;G507;E207;H110,0.33208978176116943,1.9352984428405762
Q65KZ6,585,585,40.0,56.65625,16.65625,0.9,0.1,59,K101;G397;E508;H277;K355;K230;G274;I418;K155;K171,0.6086145639419556,1.0894780158996582
A7LBQ5,314,314,40.0,29.515625,10.484375,0.84,0.1,32,G263;T54;G122;I108;E109;E49;S9;D156;E84;Q163,0.9878543019294739,0.07862222194671631
O15920,466,466,39.0,35.6875,3.3125,0.75,0.1,47,E177;D162;H210;N147;T363;T275;C4;I48;D330;H269,0.38505035638809204,1.8340654373168945
O30012,620,620,77.0,77.0,0.0,0.9,0.1,62,S3;F333;H224;K298;Y247;D385;F237;L254;E444;S108,0.7179048657417297,1.1846492290496826
Q2HQR7,235,235,25.0,27.625,2.625,0.98,0.1,24,S92;K158;S181;Y214;F46;D219;K198;K74;A162;L118,0.5643966794013977,0.8407807350158691
A0A1L2BH72,405,405,35.0,33.28125,1.71875,0.77,0.1,41,K367;H244;F147;N216;K373;L392;A371;H315;K23;G220,0.6241800785064697,0.9384458661079407
O66914,234,234,90.0,65.6875,24.3125,0.91,0.1,24,K205;T211;K207;K125;K17;R31;S50;L188;K27;H216,0.5278469324111938,1.331149697303772
A4YDR9,549,549,75.0,75.625,0.625,0.92,0.1,55,K546;C344;E489;G325;K172;H399;K161;E499;G392;G449,0.616321325302124,1.180076003074646
Q8ILF7,510,510,25.0,32.59375,7.59375,0.89,0.1,51,E71;K337;N390;K355;A495;A116;L330;K315;K416;F172,0.4108021557331085,1.8543390035629272
Q51739,605,605,80.0,65.3125,14.6875,0.93,0.1,61,W138;G527;A602;K450;L459;G305;S455;I331;Y270;K476,0.3815426230430603,1.7542212009429932
B8E1U6,397,397,75.0,84.0,9.0,0.88,0.1,40,K61;E314;Y367;D304;S155;I242;V70;S44;Y4;K137,0.7472612261772156,0.9211646318435669
P20845,520,520,60.35,40.0625,20.2875,0.93,0.1,52,K520;K469;K424;G401;D110;D309;G381;F239;G272;D320,0.8306475281715393,0.7624731659889221
Q8KBP5,203,203,22.0,27.203125,5.203125,0.91,0.1,21,G71;H166;H93;H128;T98;I144;K112;H194;E157;H196,0.9031932950019836,0.4537815451622009
A5HKP3,316,316,37.0,27.953125,9.046875,0.91,0.1,32,K262;D94;M105;V154;S116;G55;A78;N98;K119;K50,0.8310448527336121,0.49491193890571594
Q9YE01,333,333,98.0,85.6875,12.3125,0.97,0.1,34,H249;L90;R122;K320;A288;D319;M37;S111;Y268;S185,0.6259701251983643,1.0043834447860718
O87082,497,497,30.0,33.90625,3.90625,0.7,0.1,50,G454;D165;R73;K312;E385;E463;I462;S405;I384;H301,0.3718120753765106,1.7888062000274658
Q3AEU2,420,420,70.0,46.125,23.875,0.85,0.1,42,K316;K4;E285;I341;E261;T296;K35;L408;L242;N147,0.7484456300735474,0.8446459770202637
J7HDV0,512,512,37.0,37.21875,0.21875,0.8,0.1,52,K127;I3;K403;K198;K249;K9;S19;K154;K195;D366,0.7495217323303223,0.9669069051742554
Q7S2S4,488,488,50.0,59.59375,9.59375,0.93,0.1,49,K468;L153;N97;K475;G354;K409;R465;E114;F53;F63,0.403640478849411,1.5446231365203857
Q8IEG9,408,408,37.0,34.5,2.5,0.87,0.1,41,K232;H202;K264;H33;K93;I77;K250;K201;D365;H366,0.9373425245285034,0.32284632325172424
Q6F4N1,267,267,72.5,66.9375,5.5625,0.91,0.1,27,R118;G77;K53;A235;N25;F257;H148;L99;H215;H193,0.3432692289352417,1.874255657196045
P0CW04,408,408,35.0,31.96875,3.03125,0.96,0.1,41,K310;M254;G314;N106;G333;T42;C396;R175;R340;K393,0.4113297760486603,1.5690319538116455
O42801,537,537,45.0,48.84375,3.84375,0.95,0.1,54,S69;G496;G403;I63;H48;A17;N319;S393;G252;T432,0.3191986083984375,1.7857847213745117
J9R912,234,234,40.0,46.0,6.0,0.83,0.1,24,G188;G132;I89;C224;Y161;G90;D155;S213;E25;I131,0.43102124333381653,1.3109197616577148
Q97WW0,239,239,50.0,78.625,28.625,0.88,0.1,24,S28;D14;K3;M206;K150;M64;L229;Y103;S133;S167,0.6623214483261108,1.32057523727417
P39485,261,261,37.0,29.6875,7.3125,0.94,0.1,27,K81;K137;V62;H147;K129;K252;A197;G187;H102;K50,0.9584299325942993,0.2059108018875122
P19881,312,312,37.0,32.3125,4.6875,0.96,0.1,32,S288;K158;G122;K112;K14;L46;D83;K300;N310;K75,0.49982717633247375,1.438941240310669
H8Y263,751,751,60.0,51.65625,8.34375,0.9,0.1,76,Y275;K634;T281;K627;H285;M583;R481;H572;M643;K729,0.3872288167476654,1.9407415390014648
Q82L49,725,725,30.0,27.78125,2.21875,0.86,0.1,73,H316;N169;W45;D501;L685;T75;H704;A201;K291;H568,0.6051017642021179,0.9688799381256104
Q7X481,1490,798,32.5,40.4375,7.9375,0.23,0.1,80,H371;N233;D772;S461;G365;K783;D249;K265;Q422;S792,0.5250771045684814,1.4352941513061523
Q2PGY1,217,217,55.0,58.71875,3.71875,0.95,0.1,22,K77;E113;K132;G61;K131;T215;D48;E156;N96;R85,0.3839402198791504,1.2902886867523193
Q9UVY4,533,533,80.0,45.0,35.0,0.82,0.1,54,N374;K527;G26;D247;N205;H19;N308;L8;H16;P380,0.8976601958274841,0.45197564363479614
Q838N5,211,211,35.0,32.59375,2.40625,0.95,0.1,22,Q38;Y157;P123;K63;H155;N77;F87;F210;M193;H93,0.3792875111103058,1.7289671897888184
