Filename,Avg_pLDDT,Rating
A0A087IPJ7.pdb,0.97,Excellent (极好)
Q9KZL6.pdb,0.97,Excellent (极好)
Q9YE01.pdb,0.97,Excellent (极好)
Q9FAB1.pdb,0.97,Excellent (极好)
P0AGL7.pdb,0.97,Excellent (极好)
A0SZU9.pdb,0.97,Excellent (极好)
Q4X1A4.pdb,0.97,Excellent (极好)
A0A0H4SN47.pdb,0.97,Excellent (极好)
Q81PT0.pdb,0.97,Excellent (极好)
Q81ZH5.pdb,0.97,Excellent (极好)
Q2HQR6.pdb,0.97,Excellent (极好)
P94556.pdb,0.97,Excellent (极好)
A3MV85.pdb,0.97,Excellent (极好)
Q97WI2.pdb,0.97,Excellent (极好)
Q9UY84.pdb,0.97,Excellent (极好)
L8BT48.pdb,0.97,Excellent (极好)
A0NIJ1.pdb,0.97,Excellent (极好)
P16897.pdb,0.97,Excellent (极好)
Q97XA5.pdb,0.97,Excellent (极好)
Q842E2.pdb,0.97,Excellent (极好)
Q2HQR8.pdb,0.97,Excellent (极好)
O27726.pdb,0.97,Excellent (极好)
Q9UXF5.pdb,0.97,Excellent (极好)
Q7BPX6.pdb,0.97,Excellent (极好)
Q97VW1.pdb,0.97,Excellent (极好)
Q2HQR4.pdb,0.97,Excellent (极好)
I3DTP7.pdb,0.97,Excellent (极好)
Q74C76.pdb,0.97,Excellent (极好)
Q9S1M6.pdb,0.97,Excellent (极好)
P71079.pdb,0.97,Excellent (极好)
Q7LXP6.pdb,0.97,Excellent (极好)
Q9HJT3.pdb,0.97,Excellent (极好)
Q2HQS4.pdb,0.97,Excellent (极好)
V4GH04.pdb,0.97,Excellent (极好)
F7YXD6.pdb,0.97,Excellent (极好)
B3XZI5.pdb,0.97,Excellent (极好)
P50455.pdb,0.97,Excellent (极好)
A2BJU2.pdb,0.97,Excellent (极好)
F2RM17.pdb,0.97,Excellent (极好)
O29057.pdb,0.97,Excellent (极好)
P10442.pdb,0.97,Excellent (极好)
Q5HNV1.pdb,0.97,Excellent (极好)
Q88M11.pdb,0.97,Excellent (极好)
D3JV05.pdb,0.97,Excellent (极好)
Q5EFR9.pdb,0.97,Excellent (极好)
Q53EH2.pdb,0.97,Excellent (极好)
P0A6U5.pdb,0.97,Excellent (极好)
P0ACV0.pdb,0.97,Excellent (极好)
H9XP47.pdb,0.97,Excellent (极好)
B1HX72.pdb,0.97,Excellent (极好)
O30640.pdb,0.97,Excellent (极好)
Q5R082.pdb,0.97,Excellent (极好)
Q2FV22.pdb,0.97,Excellent (极好)
I3DX19.pdb,0.97,Excellent (极好)
Q9KJG6.pdb,0.97,Excellent (极好)
Q9HMB6.pdb,0.97,Excellent (极好)
Q974L0.pdb,0.97,Excellent (极好)
Q6KAV2.pdb,0.97,Excellent (极好)
P07102.pdb,0.97,Excellent (极好)
F2X2F9.pdb,0.97,Excellent (极好)
Q877I0.pdb,0.97,Excellent (极好)
Q88JR7.pdb,0.97,Excellent (极好)
Q7LXU6.pdb,0.97,Excellent (极好)
Q9YFT9.pdb,0.97,Excellent (极好)
A5U6Y7.pdb,0.97,Excellent (极好)
A0A0H2XGF2.pdb,0.97,Excellent (极好)
A8YBP8.pdb,0.97,Excellent (极好)
Q0CFW4.pdb,0.97,Excellent (极好)
A0A0H2ZHZ0.pdb,0.97,Excellent (极好)
Q5V9R8.pdb,0.97,Excellent (极好)
Q9A1B7.pdb,0.97,Excellent (极好)
Q8A711.pdb,0.97,Excellent (极好)
Q9X1N5.pdb,0.97,Excellent (极好)
Q9WYD4.pdb,0.97,Excellent (极好)
Q980S1.pdb,0.97,Excellent (极好)
Q9X4K2.pdb,0.97,Excellent (极好)
Q9YBS3.pdb,0.97,Excellent (极好)
Q57757.pdb,0.97,Excellent (极好)
A0A0I9QGZ2.pdb,0.97,Excellent (极好)
Q2HQS0.pdb,0.97,Excellent (极好)
I3DVX6.pdb,0.97,Excellent (极好)
Q6GHH5.pdb,0.97,Excellent (极好)
A5HKK6.pdb,0.97,Excellent (极好)
Q9UWP2.pdb,0.97,Excellent (极好)
O31668.pdb,0.97,Excellent (极好)
Q2HQR5.pdb,0.97,Excellent (极好)
P45261.pdb,0.97,Excellent (极好)
O66753.pdb,0.97,Excellent (极好)
P46273.pdb,0.97,Excellent (极好)
A0A090IMH4.pdb,0.97,Excellent (极好)
H0HC94.pdb,0.97,Excellent (极好)
K7NB71.pdb,0.97,Excellent (极好)
P37251.pdb,0.97,Excellent (极好)
P0DOW0.pdb,0.97,Excellent (极好)
B1B533.pdb,0.97,Excellent (极好)
Q0PC50.pdb,0.97,Excellent (极好)
Q8NT99.pdb,0.97,Excellent (极好)
Q9P6I7.pdb,0.97,Excellent (极好)
A3MSR0.pdb,0.97,Excellent (极好)
V9SCJ1.pdb,0.97,Excellent (极好)
A1RX09.pdb,0.97,Excellent (极好)
Q2FZP6.pdb,0.97,Excellent (极好)
A4HPM6.pdb,0.97,Excellent (极好)
Q9HZK1.pdb,0.97,Excellent (极好)
A4YG49.pdb,0.97,Excellent (极好)
G1C1T5.pdb,0.97,Excellent (极好)
Q980T5.pdb,0.97,Excellent (极好)
A5Y6J1.pdb,0.97,Excellent (极好)
C8WJW0.pdb,0.97,Excellent (极好)
D5HN83.pdb,0.97,Excellent (极好)
Q8TZJ1.pdb,0.97,Excellent (极好)
Q9I4W3.pdb,0.97,Excellent (极好)
Q1J2J0.pdb,0.97,Excellent (极好)
Q03BU2.pdb,0.97,Excellent (极好)
Q6ARU5.pdb,0.97,Excellent (极好)
Q9XCL6.pdb,0.97,Excellent (极好)
Q9X5C9.pdb,0.96,Excellent (极好)
Q2YIQ6.pdb,0.96,Excellent (极好)
P51017.pdb,0.96,Excellent (极好)
P0AC78.pdb,0.96,Excellent (极好)
Q3ACV3.pdb,0.96,Excellent (极好)
B5BLW5.pdb,0.96,Excellent (极好)
W5ZNX7.pdb,0.96,Excellent (极好)
P41744.pdb,0.96,Excellent (极好)
Q0ZS46.pdb,0.96,Excellent (极好)
C4M7U9.pdb,0.96,Excellent (极好)
C3MC80.pdb,0.96,Excellent (极好)
D4P095.pdb,0.96,Excellent (极好)
P05364.pdb,0.96,Excellent (极好)
Q58085.pdb,0.96,Excellent (极好)
P19881.pdb,0.96,Excellent (极好)
O15918.pdb,0.96,Excellent (极好)
O69002.pdb,0.96,Excellent (极好)
A3MWK6.pdb,0.96,Excellent (极好)
Q88P48.pdb,0.96,Excellent (极好)
Q4K657.pdb,0.96,Excellent (极好)
P9WG59.pdb,0.96,Excellent (极好)
P28585.pdb,0.96,Excellent (极好)
Q49HI4.pdb,0.96,Excellent (极好)
C4M1C3.pdb,0.96,Excellent (极好)
E0D583.pdb,0.96,Excellent (极好)
Q5AVP8.pdb,0.96,Excellent (极好)
P0AD62.pdb,0.96,Excellent (极好)
Q54944.pdb,0.96,Excellent (极好)
O51096.pdb,0.96,Excellent (极好)
B6D5I7.pdb,0.96,Excellent (极好)
A4XIG7.pdb,0.96,Excellent (极好)
Q8NKS0.pdb,0.96,Excellent (极好)
A0A0S7ASE9.pdb,0.96,Excellent (极好)
A4Y0Y8.pdb,0.96,Excellent (极好)
A8YBS4.pdb,0.96,Excellent (极好)
Q9K498.pdb,0.96,Excellent (极好)
P61431.pdb,0.96,Excellent (极好)
Q9UZR7.pdb,0.96,Excellent (极好)
Q8GME2.pdb,0.96,Excellent (极好)
P06611.pdb,0.96,Excellent (极好)
A7AZH2.pdb,0.96,Excellent (极好)
O87871.pdb,0.96,Excellent (极好)
Q7LXX6.pdb,0.96,Excellent (极好)
Q8ZXM4.pdb,0.96,Excellent (极好)
V9SFA1.pdb,0.96,Excellent (极好)
P70500.pdb,0.96,Excellent (极好)
Q97XS9.pdb,0.96,Excellent (极好)
Q81UL8.pdb,0.96,Excellent (极好)
H9BZ70.pdb,0.96,Excellent (极好)
Q47Q21.pdb,0.96,Excellent (极好)
O07683.pdb,0.96,Excellent (极好)
Q7ZAH1.pdb,0.96,Excellent (极好)
Q50566.pdb,0.96,Excellent (极好)
Q9RHV9.pdb,0.96,Excellent (极好)
A1YZ23.pdb,0.96,Excellent (极好)
Q8NK65.pdb,0.96,Excellent (极好)
Q4K7S1.pdb,0.96,Excellent (极好)
A0A1B1PGG4.pdb,0.96,Excellent (极好)
P45470.pdb,0.96,Excellent (极好)
Q1ACW3.pdb,0.96,Excellent (极好)
Q65EY9.pdb,0.96,Excellent (极好)
Q6KH76.pdb,0.96,Excellent (极好)
Q58653.pdb,0.96,Excellent (极好)
V9SDP6.pdb,0.96,Excellent (极好)
O07883.pdb,0.96,Excellent (极好)
C0STU2.pdb,0.96,Excellent (极好)
P53199.pdb,0.96,Excellent (极好)
P29051.pdb,0.96,Excellent (极好)
Q8RMG1.pdb,0.96,Excellent (极好)
C4LU94.pdb,0.96,Excellent (极好)
J3T995.pdb,0.96,Excellent (极好)
Q2L887.pdb,0.96,Excellent (极好)
P06197.pdb,0.96,Excellent (极好)
Q9Z5D6.pdb,0.96,Excellent (极好)
Q8RK01.pdb,0.96,Excellent (极好)
Q3C1A6.pdb,0.96,Excellent (极好)
Q8RL88.pdb,0.96,Excellent (极好)
B8R7Q2.pdb,0.96,Excellent (极好)
Q5JGC2.pdb,0.96,Excellent (极好)
D7VBA0.pdb,0.96,Excellent (极好)
Q0GA07.pdb,0.96,Excellent (极好)
Q5V9R9.pdb,0.96,Excellent (极好)
C4LUA1.pdb,0.96,Excellent (极好)
A7B4V1.pdb,0.96,Excellent (极好)
D7BAR0.pdb,0.96,Excellent (极好)
Q6L2I5.pdb,0.96,Excellent (极好)
A4WRA3.pdb,0.96,Excellent (极好)
F9VPB8.pdb,0.96,Excellent (极好)
Q8RLK7.pdb,0.96,Excellent (极好)
Q8L0X3.pdb,0.96,Excellent (极好)
C9E261.pdb,0.96,Excellent (极好)
Q980N1.pdb,0.96,Excellent (极好)
Q2VEQ7.pdb,0.96,Excellent (极好)
G8N704.pdb,0.96,Excellent (极好)
W0A856.pdb,0.96,Excellent (极好)
Q0IJR6.pdb,0.96,Excellent (极好)
A0A0P1J5J7.pdb,0.96,Excellent (极好)
Q717I9.pdb,0.96,Excellent (极好)
P16250.pdb,0.96,Excellent (极好)
B9K7M5.pdb,0.96,Excellent (极好)
A0A0H3NB84.pdb,0.96,Excellent (极好)
B8ZJH0.pdb,0.96,Excellent (极好)
Q51732.pdb,0.96,Excellent (极好)
B8YIE0.pdb,0.96,Excellent (极好)
E5F146.pdb,0.96,Excellent (极好)
Q9F131.pdb,0.96,Excellent (极好)
Q6KHA5.pdb,0.96,Excellent (极好)
Q5V9S0.pdb,0.96,Excellent (极好)
O31667.pdb,0.96,Excellent (极好)
P52391.pdb,0.96,Excellent (极好)
A0A0H2ZB32.pdb,0.96,Excellent (极好)
P62593.pdb,0.96,Excellent (极好)
P09436.pdb,0.96,Excellent (极好)
Q5I7E1.pdb,0.96,Excellent (极好)
B9W7C4.pdb,0.96,Excellent (极好)
Q0ZS20.pdb,0.96,Excellent (极好)
Q6RK08.pdb,0.96,Excellent (极好)
A1XP58.pdb,0.96,Excellent (极好)
P60472.pdb,0.96,Excellent (极好)
A8CGP1.pdb,0.96,Excellent (极好)
Q6U677.pdb,0.96,Excellent (极好)
W8DVW0.pdb,0.96,Excellent (极好)
Q8J2N2.pdb,0.96,Excellent (极好)
Q9A0T3.pdb,0.96,Excellent (极好)
Q5YFS2.pdb,0.96,Excellent (极好)
Q46N53.pdb,0.96,Excellent (极好)
Q54764.pdb,0.96,Excellent (极好)
P45040.pdb,0.96,Excellent (极好)
Q06803.pdb,0.96,Excellent (极好)
Q6E7F1.pdb,0.96,Excellent (极好)
A0A0H2YSJ7.pdb,0.96,Excellent (极好)
Q9WWW6.pdb,0.96,Excellent (极好)
X5F726.pdb,0.96,Excellent (极好)
P37724.pdb,0.96,Excellent (极好)
P0CW04.pdb,0.96,Excellent (极好)
P9WG39.pdb,0.96,Excellent (极好)
P26937.pdb,0.96,Excellent (极好)
P78609.pdb,0.96,Excellent (极好)
P14489.pdb,0.96,Excellent (极好)
Q88IJ7.pdb,0.96,Excellent (极好)
D4GS06.pdb,0.96,Excellent (极好)
D4GP73.pdb,0.96,Excellent (极好)
Q86ZV0.pdb,0.96,Excellent (极好)
A5LH21.pdb,0.96,Excellent (极好)
Q9YGA9.pdb,0.96,Excellent (极好)
Q9CKB0.pdb,0.96,Excellent (极好)
P26208.pdb,0.96,Excellent (极好)
D7WPP7.pdb,0.96,Excellent (极好)
Q93PS8.pdb,0.96,Excellent (极好)
B5IEU6.pdb,0.96,Excellent (极好)
W0KM71.pdb,0.96,Excellent (极好)
B0SN40.pdb,0.96,Excellent (极好)
Q4Q6K7.pdb,0.95,Excellent (极好)
Q5NT46.pdb,0.95,Excellent (极好)
Q2PCE2.pdb,0.95,Excellent (极好)
Q84IF9.pdb,0.95,Excellent (极好)
Q977U6.pdb,0.95,Excellent (极好)
Q6LZC4.pdb,0.95,Excellent (极好)
A0R043.pdb,0.95,Excellent (极好)
H6WCP4.pdb,0.95,Excellent (极好)
C6Y0D8.pdb,0.95,Excellent (极好)
A0A0H3FZT7.pdb,0.95,Excellent (极好)
O58212.pdb,0.95,Excellent (极好)
O42801.pdb,0.95,Excellent (极好)
Q4J6Z8.pdb,0.95,Excellent (极好)
Q0ZS21.pdb,0.95,Excellent (极好)
G0YW23.pdb,0.95,Excellent (极好)
P0A8N5.pdb,0.95,Excellent (极好)
C9DRU9.pdb,0.95,Excellent (极好)
Q59401.pdb,0.95,Excellent (极好)
P9WIB9.pdb,0.95,Excellent (极好)
I6Y0R5.pdb,0.95,Excellent (极好)
Q1MLL4.pdb,0.95,Excellent (极好)
W8E0Y0.pdb,0.95,Excellent (极好)
Q8U3C9.pdb,0.95,Excellent (极好)
Q000T0.pdb,0.95,Excellent (极好)
A4IQU1.pdb,0.95,Excellent (极好)
X4YXV3.pdb,0.95,Excellent (极好)
H9TUK6.pdb,0.95,Excellent (极好)
B6F260.pdb,0.95,Excellent (极好)
A0A171.pdb,0.95,Excellent (极好)
Q88JP1.pdb,0.95,Excellent (极好)
Q58936.pdb,0.95,Excellent (极好)
Q9HK44.pdb,0.95,Excellent (极好)
P53909.pdb,0.95,Excellent (极好)
Q9U493.pdb,0.95,Excellent (极好)
Q8ILT0.pdb,0.95,Excellent (极好)
K7XFI7.pdb,0.95,Excellent (极好)
C8KIP3.pdb,0.95,Excellent (极好)
Q5SJ85.pdb,0.95,Excellent (极好)
Q8GMY0.pdb,0.95,Excellent (极好)
C6WFL3.pdb,0.95,Excellent (极好)
Q8NK64.pdb,0.95,Excellent (极好)
B7J8J0.pdb,0.95,Excellent (极好)
Q4U331.pdb,0.95,Excellent (极好)
O26153.pdb,0.95,Excellent (极好)
Q97YF5.pdb,0.95,Excellent (极好)
Q8PYS1.pdb,0.95,Excellent (极好)
Q4K977.pdb,0.95,Excellent (极好)
P0A722.pdb,0.95,Excellent (极好)
A4K8Z1.pdb,0.95,Excellent (极好)
H9TUK5.pdb,0.95,Excellent (极好)
P43127.pdb,0.95,Excellent (极好)
P9WIQ3.pdb,0.95,Excellent (极好)
P37773.pdb,0.95,Excellent (极好)
F2L0W0.pdb,0.95,Excellent (极好)
P12547.pdb,0.95,Excellent (极好)
Q0PC20.pdb,0.95,Excellent (极好)
P00808.pdb,0.95,Excellent (极好)
P84612.pdb,0.95,Excellent (极好)
A4ISB9.pdb,0.95,Excellent (极好)
A8WEG5.pdb,0.95,Excellent (极好)
C6XY24.pdb,0.95,Excellent (极好)
Q65NY1.pdb,0.95,Excellent (极好)
P75782.pdb,0.95,Excellent (极好)
A0LST6.pdb,0.95,Excellent (极好)
B5MGR3.pdb,0.95,Excellent (极好)
Q9S2A5.pdb,0.95,Excellent (极好)
A9CEQ8.pdb,0.95,Excellent (极好)
Q7B9Y8.pdb,0.95,Excellent (极好)
A4VMZ0.pdb,0.95,Excellent (极好)
Q5A3V6.pdb,0.95,Excellent (极好)
Q60AN4.pdb,0.95,Excellent (极好)
A5U4I2.pdb,0.95,Excellent (极好)
A2V7M5.pdb,0.95,Excellent (极好)
P0A870.pdb,0.95,Excellent (极好)
Q96UI5.pdb,0.95,Excellent (极好)
Q1XGD4.pdb,0.95,Excellent (极好)
Q9HX69.pdb,0.95,Excellent (极好)
P00381.pdb,0.95,Excellent (极好)
Q5FB93.pdb,0.95,Excellent (极好)
Q9RHA2.pdb,0.95,Excellent (极好)
O31521.pdb,0.95,Excellent (极好)
Q97X93.pdb,0.95,Excellent (极好)
E4NI20.pdb,0.95,Excellent (极好)
H9ZGN0.pdb,0.95,Excellent (极好)
Q5YXQ1.pdb,0.95,Excellent (极好)
A0A0K0M737.pdb,0.95,Excellent (极好)
A0A0D3MA54.pdb,0.95,Excellent (极好)
Q00441.pdb,0.95,Excellent (极好)
I6Y2G3.pdb,0.95,Excellent (极好)
D7GXF9.pdb,0.95,Excellent (极好)
P18644.pdb,0.95,Excellent (极好)
Q59601.pdb,0.95,Excellent (极好)
Q81BW8.pdb,0.95,Excellent (极好)
A0A141BGH5.pdb,0.95,Excellent (极好)
A0A076JRL8.pdb,0.95,Excellent (极好)
Q0VPF7.pdb,0.95,Excellent (极好)
O35010.pdb,0.95,Excellent (极好)
A5IL97.pdb,0.95,Excellent (极好)
J7HET3.pdb,0.95,Excellent (极好)
Q9K169.pdb,0.95,Excellent (极好)
A4VLZ3.pdb,0.95,Excellent (极好)
Q81DR3.pdb,0.95,Excellent (极好)
C6Y1N7.pdb,0.95,Excellent (极好)
Q1XGK8.pdb,0.95,Excellent (极好)
Q58010.pdb,0.95,Excellent (极好)
B6V876.pdb,0.95,Excellent (极好)
Q2G160.pdb,0.95,Excellent (极好)
Q9WYF3.pdb,0.95,Excellent (极好)
C7FLN0.pdb,0.95,Excellent (极好)
D4GSN2.pdb,0.95,Excellent (极好)
K0A689.pdb,0.95,Excellent (极好)
Q96XN9.pdb,0.95,Excellent (极好)
P50740.pdb,0.95,Excellent (极好)
P26616.pdb,0.95,Excellent (极好)
G4T023.pdb,0.95,Excellent (极好)
Q0E9S8.pdb,0.95,Excellent (极好)
Q9S5E2.pdb,0.95,Excellent (极好)
B9WZX2.pdb,0.95,Excellent (极好)
Q838N5.pdb,0.95,Excellent (极好)
P9WQP7.pdb,0.95,Excellent (极好)
F4NCC2.pdb,0.95,Excellent (极好)
Q9V2R8.pdb,0.95,Excellent (极好)
E4Q2A4.pdb,0.95,Excellent (极好)
Q5FAK7.pdb,0.95,Excellent (极好)
P9WJL3.pdb,0.95,Excellent (极好)
O57917.pdb,0.95,Excellent (极好)
Q2YPV0.pdb,0.95,Excellent (极好)
P20971.pdb,0.95,Excellent (极好)
Q9HIW6.pdb,0.95,Excellent (极好)
A9WC36.pdb,0.95,Excellent (极好)
P9WIC6.pdb,0.95,Excellent (极好)
B0B552.pdb,0.95,Excellent (极好)
Q00055.pdb,0.95,Excellent (极好)
A0A077JN67.pdb,0.95,Excellent (极好)
A0A0H3NGZ8.pdb,0.95,Excellent (极好)
A0A060KZ16.pdb,0.95,Excellent (极好)
A3NS93.pdb,0.95,Excellent (极好)
D4GWR6.pdb,0.95,Excellent (极好)
Q50756.pdb,0.95,Excellent (极好)
Q003Y3.pdb,0.95,Excellent (极好)
Q97ZD0.pdb,0.95,Excellent (极好)
Q5FSJ2.pdb,0.95,Excellent (极好)
Q9YGB3.pdb,0.95,Excellent (极好)
D3GGN3.pdb,0.95,Excellent (极好)
O94219.pdb,0.95,Excellent (极好)
D9D7K9.pdb,0.95,Excellent (极好)
Q9YC65.pdb,0.95,Excellent (极好)
Q5FQJ0.pdb,0.95,Excellent (极好)
Q97WG5.pdb,0.95,Excellent (极好)
Q97U35.pdb,0.95,Excellent (极好)
Q9HLX1.pdb,0.95,Excellent (极好)
Q988H5.pdb,0.95,Excellent (极好)
Q9WZZ1.pdb,0.95,Excellent (极好)
Q9X265.pdb,0.95,Excellent (极好)
Q9WYD1.pdb,0.95,Excellent (极好)
Q8U248.pdb,0.95,Excellent (极好)
Q2PGY1.pdb,0.95,Excellent (极好)
L0CR34.pdb,0.95,Excellent (极好)
B9DIJ2.pdb,0.95,Excellent (极好)
P9WH11.pdb,0.95,Excellent (极好)
Q763T4.pdb,0.95,Excellent (极好)
I6XPK9.pdb,0.95,Excellent (极好)
Q3HWU8.pdb,0.95,Excellent (极好)
Q5NGA7.pdb,0.95,Excellent (极好)
Q70G56.pdb,0.95,Excellent (极好)
Q1HEQ0.pdb,0.95,Excellent (极好)
B6HI95.pdb,0.95,Excellent (极好)
P36999.pdb,0.95,Excellent (极好)
O31465.pdb,0.95,Excellent (极好)
Q9Y7P0.pdb,0.95,Excellent (极好)
D1A9G5.pdb,0.95,Excellent (极好)
O15635.pdb,0.95,Excellent (极好)
P24205.pdb,0.95,Excellent (极好)
Q9Z7D3.pdb,0.95,Excellent (极好)
Q76LT2.pdb,0.95,Excellent (极好)
Q7N6U8.pdb,0.95,Excellent (极好)
Q7WZT5.pdb,0.95,Excellent (极好)
F9UM18.pdb,0.95,Excellent (极好)
A0QU81.pdb,0.95,Excellent (极好)
B4X9S4.pdb,0.95,Excellent (极好)
Q1ET73.pdb,0.95,Excellent (极好)
C4M0W5.pdb,0.95,Excellent (极好)
Q5JGP4.pdb,0.95,Excellent (极好)
A0A140N932.pdb,0.95,Excellent (极好)
A0A099D4T8.pdb,0.95,Excellent (极好)
A6T7D6.pdb,0.95,Excellent (极好)
A1IG83.pdb,0.95,Excellent (极好)
Q9X2I8.pdb,0.95,Excellent (极好)
Q2U7D3.pdb,0.95,Excellent (极好)
Q2HPP6.pdb,0.95,Excellent (极好)
S5SPJ1.pdb,0.95,Excellent (极好)
Q84GK1.pdb,0.95,Excellent (极好)
A5HMI1.pdb,0.95,Excellent (极好)
P60781.pdb,0.95,Excellent (极好)
U3T1K4.pdb,0.95,Excellent (极好)
O06543.pdb,0.95,Excellent (极好)
Q83V33.pdb,0.95,Excellent (极好)
A1TH50.pdb,0.95,Excellent (极好)
F8G0M3.pdb,0.94,Excellent (极好)
A4YEH9.pdb,0.94,Excellent (极好)
Q88RQ5.pdb,0.94,Excellent (极好)
Q3IFA2.pdb,0.94,Excellent (极好)
Q7S3U4.pdb,0.94,Excellent (极好)
Q580R7.pdb,0.94,Excellent (极好)
B6ZIV1.pdb,0.94,Excellent (极好)
D3GE78.pdb,0.94,Excellent (极好)
Q8U2I1.pdb,0.94,Excellent (极好)
A4YGN0.pdb,0.94,Excellent (极好)
A0A0E4A9D6.pdb,0.94,Excellent (极好)
B8D484.pdb,0.94,Excellent (极好)
Q5JFV8.pdb,0.94,Excellent (极好)
O86169.pdb,0.94,Excellent (极好)
Q9I5I6.pdb,0.94,Excellent (极好)
O07177.pdb,0.94,Excellent (极好)
P51182.pdb,0.94,Excellent (极好)
F8A9V0.pdb,0.94,Excellent (极好)
Q9ABE3.pdb,0.94,Excellent (极好)
G9M5R4.pdb,0.94,Excellent (极好)
Q72IW9.pdb,0.94,Excellent (极好)
Q9WYB1.pdb,0.94,Excellent (极好)
P45148.pdb,0.94,Excellent (极好)
Q8THU2.pdb,0.94,Excellent (极好)
P49425.pdb,0.94,Excellent (极好)
O28341.pdb,0.94,Excellent (极好)
P13154.pdb,0.94,Excellent (极好)
Q5JJB9.pdb,0.94,Excellent (极好)
F0NBH8.pdb,0.94,Excellent (极好)
S6B6P7.pdb,0.94,Excellent (极好)
Q0QFQ3.pdb,0.94,Excellent (极好)
Q0QLE6.pdb,0.94,Excellent (极好)
B5UAT8.pdb,0.94,Excellent (极好)
A0A140JW76.pdb,0.94,Excellent (极好)
C0LNR0.pdb,0.94,Excellent (极好)
Q9UTM7.pdb,0.94,Excellent (极好)
Q9UZV2.pdb,0.94,Excellent (极好)
A0A073KHN9.pdb,0.94,Excellent (极好)
G3FFC9.pdb,0.94,Excellent (极好)
I6Z9A7.pdb,0.94,Excellent (极好)
Q9C4M5.pdb,0.94,Excellent (极好)
A0A1B4XTS0.pdb,0.94,Excellent (极好)
Q9RWH9.pdb,0.94,Excellent (极好)
F9VPG1.pdb,0.94,Excellent (极好)
Q932V0.pdb,0.94,Excellent (极好)
B3FYT6.pdb,0.94,Excellent (极好)
Q8U4Q3.pdb,0.94,Excellent (极好)
Q82P90.pdb,0.94,Excellent (极好)
S5FMM4.pdb,0.94,Excellent (极好)
A3GHR6.pdb,0.94,Excellent (极好)
G3FHJ1.pdb,0.94,Excellent (极好)
Q5EXK1.pdb,0.94,Excellent (极好)
Q9KQ52.pdb,0.94,Excellent (极好)
Q12051.pdb,0.94,Excellent (极好)
O08349.pdb,0.94,Excellent (极好)
Q5LH66.pdb,0.94,Excellent (极好)
O50083.pdb,0.94,Excellent (极好)
Q51723.pdb,0.94,Excellent (极好)
P94804.pdb,0.94,Excellent (极好)
Q8THG2.pdb,0.94,Excellent (极好)
Q0VZ68.pdb,0.94,Excellent (极好)
P54616.pdb,0.94,Excellent (极好)
P0ADR6.pdb,0.94,Excellent (极好)
Q4J6C9.pdb,0.94,Excellent (极好)
A0A0H3FYM1.pdb,0.94,Excellent (极好)
A0A0M4NIK2.pdb,0.94,Excellent (极好)
Q9YC66.pdb,0.94,Excellent (极好)
Q58991.pdb,0.94,Excellent (极好)
Q6XKX6.pdb,0.94,Excellent (极好)
O29269.pdb,0.94,Excellent (极好)
